ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species,14213c01_12_edna_1,14213c01_12_edna_2,14213c01_12_edna_3,22013c01_12_edna_1,22013c01_12_edna_2,22013c01_12_edna_3,CN13Dc01_12_edna_1,CN13Dc01_12_edna_2,CN13Dc01_12_edna_3,05114c01_12_edna_1,05114c01_12_edna_2,05114c01_12_edna_3,14714c01_12_edna_1,14714c01_12_edna_2,14714c01_12_edna_3,19114c01_12_edna_1,19114c01_12_edna_2,19114c01_12_edna_3,30214c01_12_edna_1,30214c01_12_edna_2,30214c01_12_edna_3,32414c01_12_edna_1,32414c01_12_edna_2,32414c01_12_edna_3,12015c01_12_edna_1,12015c01_12_edna_2,12015c01_12_edna_3,18815c01_12_edna_1,18815c01_12_edna_2,18815c01_12_edna_3,EB_20161116,pcrblank_1,28215c01_12_edna_1,28215c01_12_edna_2,28215c01_12_edna_3,34915c01_12_edna_1,34915c01_12_edna_2,34915c01_12_edna_3,11216c01_12_edna_1,11216c01_12_edna_2,11216c01_12_edna_3,24416c01_12_edna_1,24416c01_12_2,24416c01_12_edna_3,CANON16c14_12_edna_1,CANON16c14_12_edna_2,CANON16c14_12_edna_3,34916c01_12_edna_1,34916c01_12_edna_2,34916c01_12_edna_3,JD10706C1_0m_1,JD10706C1_0m_2,JD10706C1_0m_3,JD15806C1_0m_1,JD15806C1_0m_2,JD15806C1_0m_3,JD27006C1_0m_1,JD27006C1_0m_2,JD27006C1_0m_3,JD33306C1_0m_1,JD33306C1_0m_2,JD33306C1_0m_3,pcrblank2,EB_20161121,EB_20161228,EB_20170117,pcrblank3,CB_CANON160925_1,CB_CANON160925_2,CB_CANON160925_3,ArtComm2
ASV_2704,Eukaryota,Ciliophora,unassigned,unassigned,unassigned,g_,s_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_2705,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine eukaryote,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0
ASV_2706,Eukaryota,Ciliophora,Spirotrichea,Choreotrichida,Strobilidiidae,g_,s_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,18,0,0,0,0,0,0,0,0,0
ASV_2707,Eukaryota,unknown,Dinophyceae,Syndiniales,Amoebophryaceae,Amoebophrya,s_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_2708,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_2709,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,s_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_2710,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_2711,Eukaryota,unknown,Dinophyceae,Syndiniales,Amoebophryaceae,g_,s_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,16,0,0,0,0,0,0,0,0,0
ASV_2712,no_hit,no_hit,no_hit,no_hit,no_hit,g_,s_,13,9,16,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_2713,Eukaryota,Cercozoa,unknown,Cercomonadida,Cercomonadidae,g_,s_,0,0,0,0,0,0,0,0,0,11,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
